"Title","Description","SGL","KL3M","Group"
921,"U-RLY Universal Relay Mounting PCB",80,77,7
"922a","EzyBus Output PCB rev2",4,5,7
923,"EzyBus Input PCB rev 3",7,0,7
924,"EzyBus Controller PCB",4,0,7
936,"SD2 Signal Driver PCB",4,5,7
"936A","SD3 Signal Driver PCB",8,0,7
937,"PD3 Point Driver PCB",0,0,7
9145,"ATC2-CORE PCB",4,0,7
"9145P","ATC2-CORE-PANEL PCB",5,0,7
9146,"ATC2-ENDS and PROFILES PCB",7,0,7
"9147P","ATC2-PROFILES-PANEL PCB",3,0,7
9148,"ATC2-MPS PCB",4,0,7
949,"12V CDU PCB",5,0,7
961,"Gas Lamp Twinkler PCB (TH)",2,2,7
968,"PCB for 2Ch ToTI Kit 68",4,5,7
969,"PCB for Split PSU Kit 69",2,0,7
"972A","Dual Hector PCB",16,0,7
"975G","Servo4G Rev1 PCB",10,0,7
"976B","ServoSet2 PCB",4,0,7
977,"Servo1 PCB",25,0,7
"977R","Servo1R PCB",21,0,7
979,"Stepper Motor Turntable Controller PCB",0,0,7
9436,"PCB for SD2-SMD",10,0,7
"750SMP","Programmed PIC12F683 for Servo1",30,0,8
404,"PTP-Lite HV Backplane Kit - SMD",0,0,8
409,"PTP-Lite Address Setter Kit - SMD",0,0,8
901.4,"TM4 CANLED Test Module PCB",31,1,8
980,"CANUSB USB I/F PCB",6,0,8
771,"5V 5A DC Power Supply",5,1,9
772,"12V 5A DC Power Supply",35,39,9
773,"15V 3A DC Power Supply",34,19,9
774,"15V 6A DC Power Supply",12,6,9
"774P","C5 (Clover Leaf) Power Lead",2,9,9
776,"18V 3.6A DC Power Supply",2,0,9
779,"DC Socket CLB-JL53",1483,18,9
780,"C7 PSU Power Cable",10,36,9
911,"PCB CAN.FLIM.IO-E",3,11,10
912,"PCB CAN.FLIM.IO-O",6,5,10
914,"PCB CAN.FLIM.IO-F",14,0,10
928,"CANOUT PCB",8,5,10
929,"CANINP PCB",10,0,10
"980A","CANUSB4 I/F PCB",4,2,10
"993A","CANCAB Plug Point Dual PCB",7,3,10
"993S","CANCAB Plug Point Single PCB",30,4,10
"994A","CANSOL 94A Rev 5 PCB",0,5,10
997,"CANPAN Mimic Panel Interface PCB",6,0,10
"998B","CANMIO Rev K PCB",11,6,10
9110,"PCB for Arduino CAN Shield",4,1,10
9111,"CAN-Pico02_2515 PCB",0,5,10
9112,"Pico MEZZ01 PCB",12,1,10
"9193A","CANACTOUT RJ22 PCB RevC",5,1,10
9391,"MioADD PCB",12,13,10
9392,"MioADDSVO PCB",8,2,10
436,"SD2 Colour Light Signal Driver SMD",14,8,11
461,"Gas Lamp Twinkler SMD",15,12,11
681,"Point Motor - Micro-Servo Mount",60,66,12
682,"Point Motor - Horizontal Kit",41,17,12
683,"Microswitch Pack",41,28,12
684,"Single Arm Semaphore Mount",0,33,12
685,"Double Arm Semaphore Mount",14,6,12
686,"Quad Arm Semaphore Mount",13,0,12
687,"Removable Mount for Semaphore Mounts",10,0,12
688,"Magnet Pack for Demountable Kit",15,10,12
689,"Colour Light Signal Mount Kit",8,4,12
690,"Level Crossing Gate Servo Mount",16,0,12
"690A","Level Crossing Gate Servo Mount",9,23,12
802,"PMP2 - LDR Train Detector",66,41,13
803,"PMP3 - Servo Tester/Controller",21,14,13
805,"PMP5 - Logic Probe",11,1,13
806,"PMP6 - 12V Supply",18,3,13
808,"PMP8 - Multi Purpose Flasher V2",48,22,13
809,"PMP9 - 4-way Traffic Lights",26,9,13
811,"PMP11 - LED Dimmer",17,2,13
812,"PMP12 - Random Lights",44,29,13
813,"PMP13 - Lighthouse Simulator",23,2,13
814,"PMP14 - Decoder Test Rig",3,10,13
816,"PMP16 - Turnout Position Sensor",20,7,13
817,"PMP17 - Automatic Signals",35,32,13
819,"PMP19 - Automatic Coach Lighting",14,4,13
820,"PMP20 - Versatile Timer",30,19,13
821,"PMP21 - Dual LED Flasher",41,21,13
823,"PMP23 - DCC Reverse Loop Controller",38,1,13
824,"PMP24 - Arc Flash Generator",43,17,13
825,"PMP25 - Steam Sound Emulator",32,2,13
826,"PMP26 - Event Sequencer",12,10,13
827,"PMP27 - Button Operated Servos",34,1,13
899,"PMP99 - Hall Effect Sensor Pack",19,5,13
950,"DTC2 DCC Block Detector PCB",10,10,14
952,"DCC Accessory Decoder (P) PCB",0,0,14
"953A","DCC Accessory Decoder (S/S) PCB",5,4,14
"956A","DTC8 DCC Block Detector PCB",1,8,14
957,"DCO DCC District Cutout PCB",28,0,14
"959A","NB2 DCC Booster PCB",7,0,14
"991B","CANCMDB Command Station PCB",7,2,14
"992P","CANCAB2 DCC Handset PCB",11,2,14
9175,"Frog Polarity Switch (FPS) PCB",0,12,14
741,"PIC12F675-I/P Microcontroller",3,0,15
"741P","Programmed PIC12F675 Microcontroller",0,6,15
760,"PIC16F1847",0,0,15
"742P","PIC12F1840-I/SP Preprogrammed For Kit 77",22,3,15
743,"PIC16F18313-I/P",11,9,15
"743P","PIC16F18313-I/P Preprogrammed For Kit 77R",10,0,15
540,"PIC16F628A Microcontroller",3,0,15
"540P","Programmed PIC16F628A Microcontroller",20,8,15
751,"PIC16F630 Microcontroller Blank",28,0,15
"751P","PIC16F630 Microcontroller Programmed",20,6,15
752,"PIC16F676 Microcontroller",6,0,15
"752P","Programmed PIC16F676 Microcontroller",0,0,15
753,"Blank 16F1503 Microcontroller",27,0,15
"753P","Programmed 16F1503 Microcontroller for Dual Hector",27,3,15
745,"Programmed 16F883 Microcontroller for ATC1 ",14,0,15
754,"PIC18F2480 Microcontroller",5,0,15
"754P","Programmed PIC18F2480 Microcontroller",20,2,15
"756P","Programmed 18F2580 Microcontroller for CANCMD",18,2,15
767,"Preprogrammed PIC18F14K50 for CANUSB4",3,4,15
761,"PIC18F2420 Microcontroller",4,0,15
"761P","Programmed PIC18F2420 Microcontroller for TTSM",7,1,15
766,"PIC18F25K80 Microcontroller",0,0,15
"766P","Programmed PIC18F25K80 Microcontroller",0,0,15
768,"PIC18F26K80 Microcontroller",8,16,15
"768P","Programmed PIC18F26K80 Microcontroller",0,9,15
769,"PIC18F27Q83 MIcrocontroller",5,11,15
"769P","PIC18F27Q83",4,6,15
775,"ATMEGAGA328P-PU Microcontroller",0,0,15
757,"PIC18F13K22-I/P",8,1,15
11,"CANVOUT",18,22,16
12,"CANVINP",25,11,16
13,"CANVSERVO",35,47,16
14,"CANV4BIP",18,6,16
15,"CANV8BIP",0,0,16
16,"CANV4SOL",0,0,16
97,"CANPAN Mimic Panel Interface",19,28,16
"98A","CANMIO Multi-Input-Output Module",0,0,16
"98B","CANMIO-UNIVERSAL",27,32,16
391,"MioADD",21,16,16
392,"MioADDSVO",8,3,16
193,"CANACTOUT RJ22 connector and CBUS Monitor",20,14,17
90,"CBUS Message Activity Monitor (CANACT)",23,11,17
492,"CANGIZMO. (CBUS Test Module.)",19,12,17
491,"LCB Switch and LED test Boards",21,11,17
493,"Bipolar pluggable LCB test Board",5,1,17
497,"CANTM7 Test Module Kit",17,8,17
990,"CANACT PCB",10,0,18
"9491a","Pluggable Switch LCB test Board PCB",7,5,18
"9491b","Pluggable LED LCB test Board PCB",7,5,18
9492,"CANGIZMO PCB",8,0,18
9493,"Bipolar pluggable LCB test Board PCB",3,0,18
9497,"TM7 CANPAN Test Module PCB",5,2,18
9801,"PCB for PMK1",24,13,19
9804,"PCB for PMK4",16,5,19
"9804A","PCB for PMK4A",5,3,19
9807,"PCB for PMK7",19,10,19
9810,"PCB for PMK10",26,2,19
9815,"PCB for PMK15",26,0,19
9818,"PCB for PMK18",19,0,19
9822,"PCB for PMK22",3,0,19
"101A","Beginners Kit 101A",8,7,20
"102B","Beginners Kit 102B",4,9,20
"101S","CBUS Beginner Pack A Subkit",12,0,20
"102S","CBUS Beginner Pack B Subkit",9,0,20
4801,"PMK1 - Track Tester",45,33,21
4804,"PMK4 - Simple Shuttle",36,26,21
"4804A","PMK4a - Shuttle Add-on",9,9,21
4807,"PMK7 - DCC Train Detector",23,111,21
4810,"PMK10 - Speed Controller",7,21,21
4815,"PMK15 - Train AutoStop",25,7,21
4818,"PMK18 - EzyPoints",80,32,21
4822,"PMK22 - Laser Train Detector",58,51,21
22,"EzyBus Output Module",5,22,22
23,"EzyBus Input Module",0,19,22
24,"AVR/EzyBus Controller Module",9,4,22
"91B","DCC Command Station and Mini-Booster with CBUS Interface (CANCMDB)",30,39,23
"92P","Handset with pot for MERG DCC Command Station - CANCAB2P",20,15,23
"92E","Handset with encoder for MERG DCC Command Station - CANCAB2E",10,23,23
144,"CANCAB2 RJ22 Curly Lead",16,16,23
"7920P","Metal Knob and Washer for CAB2 Pot Version",14,1,23
"7920E","Metal Knob for CAB2 Encoder Version",7,0,23
777,"LCD Back lit Display for CANCAB2",10,4,23
6720,"1.27mm Header for CANCAB2",13,2,23
"44c","Mk1 DCC Handset cable, 2 metres",1,0,23
236,"SD2A Colour Light Signal Driver kit",22,11,24
25,"LCB Node Connector",0,0,25
151,"LCB Connector Board",39,40,25
152,"Power Distribution Board",29,47,25
"779A","DC Male Socket CLB-JL52 DC 2.1 x 5.5",30,11,25
28,"CANOUT",21,11,26
29,"CANINP",19,7,26
"80A","USB Interface (CANUSB4)",37,38,26
"94A","CANSOL 94A",5,31,26
145,"Automatic Train Controller 2 (ATC2) - Core Module Kit",2,4,27
146,"ATC2 Ends",7,4,27
147,"ATC2 Profiles Panel",5,1,27
148,"ATC2 MPS",11,1,27
666,"1st Class Postage in Addition to the Standard 2nd Class",791,24,28
" ",,,,
