"Title","Description","supplier","supplier PN","Supplier price"
"CapTB-330n/35V","330nF 35V  2.5mm Tantalum bead","rapid","11-1060",
"CapRC-470n/50V2.5","470nF 50V 2.5mm Ceramic Capacitor","rapid","11-3424",
"CapRC-22p/100V2.5","22pF 100V 2.5mm Radial Ceramic capacitor","rapid","11-3427",
"CapRC-100n/100V2.5","100nF 100V 2.5mm Ceramic Capacitor","rapid","11-3442",13.68
"CapRC-100n/50V2.5","100nF 50V 2.5mm Radial Ceramic Capacitor","rapid","11-3455",0.01
"CapRE-100u/25V","100uF 25V Radial Electrolytic Capacitor","rapid","11-3509",0.06
"CapRE-220u/25V","220uF 25V Radial Electrolytic Capacitor","rapid","11-3512",0.03
"CapRE-2200u/35V","2200uF 35v Radial Electrolytic Capacitor","rapid","11-3533",13
"BagSS-140x140","Self Seal Polythene Bag 140 x 140mm 160 gauge","rapid","14-0909",0.95
"Plug-SL-D25","25 Way D-Type Solder Lug Plug","rapid","15-0110",277
"Sock-SPCB-D25","25 Way Straight PCB D Type Socket","rapid","15-0750",3.03
"BH-2032","CR2032  Coin Cell Battery Holder","rapid","18-0498",38
"BoxH-p1-2x13","26 Way Straight Boxed Header 2.54mm Pitch","rapid","19-0037",135
"TBLP-16A-5-2","2 Way 16A Low Profile Terminal Block 5mm Pitch","rapid","21-0461",0.11
"TB-3.5-2","2 way 3.5mm Terminal Block","rapid","21-1500",0.08
"TBSE-10A-3.5-3","3 way 10A 3.5mm Pitch Side Entry Header","rapid","21-3028",0.14
"TBPL-10A-3.5-3","3 Way 10A 3.5mm Pitch Free Plug","rapid","21-3035",0.11
"SocDIL-8","8 Pin DIL Socket  7.62 mm","rapid","22-0107",0.56
"SocDIL-14","14 Pin DIL Socket  7.62 mm","rapid","22-0108",0.82
"SocDIL-16","16 Pin DIL socket 7.62mm","rapid","22-0109",0.81
"SocDIL-28","28 Pin DIL Socket 7.62mm","rapid","22-0114",0.84
"SRH-p1-36","36 Way 2.54mm  Single Row Header","rapid","22-0545",2.73
"JL2pC","2 Pin Closed Jumper Link","rapid","22-0690",
"SB-25x64","Stripboard 25 x 64mm","rapid","34-0500",
"STP55NF06L","STP55NF06L MOSFET Logic N 60V 55A","rapid","47-0550",
"UF4002","UF4002 1A 100V Ultrafast Rectifier Diode","rapid","47-3156",
"L7805CV","L7805CV TO220 5V 1A Voltage Regulator","rapid","47-3290",
"1N4148","1N4148 75V 150mA Signal Diode","rapid","47-3416",
"1N4001","1N4001 Rectifier Diode","rapid","47-3420",
"78L05-100mA","78L05 -100mA Voltage Regulator","rapid","47-3612",
"1N4002","1N4002 Silicon Rectifier Diode 100V","rapid","47-3802",
"BC557B","BC557B Transistor PNP TO92 45V","rapid","50-3119",
"LED-3mmR","3mm LED - Red","rapid","55-0150",
"LED-3mmRLC","3mm LED - Red Low Current","rapid","56-0400",
"LED-3mmGLC","3mm LED - Green Low Current","rapid","56-0405",
"LED-3mmYLC","3mm LED - Yellow Low Current","rapid","56-0410",
"GL5528","GL5528 Light Dependent Photoresistor","rapid","58-0134",
"RlyDPDT-12V1A","12V DPDT relay 1A","rapid","60-4692",
"TCRT5000","TCRT5000 Optical sensor","rapid","60-8260",
"ResCF-470RQW","470R 0.25W Carbon Film Resistor","rapid","62-0362",
"ResCF-1k0RQW","1K0 0.25W Carbon Film Resistor","rapid","62-0370",
"ResCF-1k8RQW","1K8 0.25W Carbon Film Resistor","rapid","62-0376",
"ResCF-2k2RQW","2K2 0.25W Carbon Film Resistor","rapid","62-0378",
"ResCF-10kRQW","10K 0.25W Carbon Film Resistor","rapid","62-0394",
"ResCF-100kRQW","100K 0.25W Carbon Film Resistor","rapid","62-0418",
"ResCF-4k7RHW","4R7 0.5W Carbon Film Resistor","rapid","62-0510",
"ResNet-10k4+C","10K 5 Pin Commoned Resistor Network","rapid","63-0265",
"ResTrim-10kSM","10K 0.1W 30% Linear Trimpot","rapid","68-1575",
"PIC16F676-I/P","PIC16F676-I/P Microcontroller 8-bit DIP8","rapid","73-3692",
"SWTact-4.3mm","4.3mm Miniature Rectangular SPST Tactile Switch","rapid","78-1120",
"SWDIL-6w","DIL Switch 6-way 12-pin","rapid","80-0024",
"BC547B","BC547B Transistor NPN TO92 45V","rapid","81-0468",
"2N4401","2N4401 Transistor NPN TO92 40V","rapid","81-0487",
"BagSS-75x85","Self Seal Polythene Bags 75 x 85 x 0.05mm","rapid","87-0590",
"ASFoam","Conductive Foam","rapid","87-1528",
"Xyl-4MLP","4MHz Crystal","rapid","90-1074",
"RzPC-4M","4MHz 3-Pin Piezo-Ceramic Resonator","rapid","90-3565",
"BagSS-100x140","Self Seal Polythene Bag 100 x 140mm 160 Gauge","rapid","14-0926",
"BagSS-55x75","Self Seal Polythene Bag 55 x 75mm 160 gauge","rapid","14-0937",
